model,mode,regime,epochs,train_acc,val_acc,train_val_gap,delta
resnet50,Mode_A,100%,10,0.8070269306224362,0.8275613275613276,-0.01692689333138775,0.28073234524847435
resnet50,Mode_A,20%,20,0.8106402164111812,0.753968253968254,0.061000966771931564,0.28073234524847435
resnet50,Mode_A,5%,20,0.8052434456928839,0.5952380952380952,0.22587836632780445,0.28073234524847435
resnet50,Mode_B,100%,10,0.9926877117888354,0.9603174603174603,0.03237025147137507,0.16228399699474086
resnet50,Mode_B,20%,20,0.9864743011722272,0.9278499278499278,0.06151037620830224,0.16228399699474086
resnet50,Mode_B,5%,20,0.9962546816479401,0.8044733044733045,0.1968318822251407,0.16228399699474086
densenet121,Mode_A,100%,10,0.9031567683253077,0.9090909090909091,0.007774372942912278,0.21984126984126984
densenet121,Mode_A,20%,20,0.9242560865644724,0.847041847041847,0.08442924673763263,0.21984126984126984
densenet121,Mode_A,5%,20,0.9325842696629213,0.7092352092352092,0.22912106619971784,0.21984126984126984
densenet121,Mode_B,100%,10,0.9882289994649546,0.9588744588744589,0.03224054347649863,0.16854778028592932
densenet121,Mode_B,20%,20,0.9918845807033363,0.9213564213564214,0.07630016511892068,0.16854778028592932
densenet121,Mode_B,5%,20,0.9962546816479401,0.7972582972582972,0.19899638438964284,0.16854778028592932
efficientnet_b0,Mode_A,100%,10,0.8674870697342607,0.8564213564213564,0.01106571331290429,0.19460825610783483
efficientnet_b0,Mode_A,20%,20,0.9017132551848512,0.8037518037518038,0.1051764586480547,0.19460825610783483
efficientnet_b0,Mode_A,5%,20,0.9325842696629213,0.6897546897546898,0.2514875885662402,0.19460825610783483
efficientnet_b0,Mode_B,100%,10,0.9937578027465668,0.9689754689754689,0.030554339543103604,0.13775130305286665
efficientnet_b0,Mode_B,20%,20,0.9954914337240758,0.937950937950938,0.061869500102142205,0.13775130305286665
efficientnet_b0,Mode_B,5%,20,0.9812734082397003,0.8354978354978355,0.1501045770708691,0.13775130305286665
